S.No.,Province/city,Capital ,Region,Area (in km),Population,Density (/km),% Urban,HDI (2012),GDP per capita  (2011 PPP US$)
1,Bắc Giang,Bắc Giang,Northeast,"3,895.59","1,824,000",463,11.4,0.711,"1,909.44"
2,Bắc Kạn,Bắc Kạn,Northeast,"4,859.96","325,000",65,20.7,0.685,"1,766.68"
3,Cao Bằng,Cao Bằng,Northeast,"6,700.26","555,000",79,23.3,0.653,"1,564.27"
4,Hà Giang,Hà Giang,Northeast,"7,929.48","870,000",108,15.9,0.586,"1,083.72"
5,Lạng Sơn,Lạng Sơn,Northeast,"8,310.09","794,000",94,20.4,0.707,"2,201.98"
6,Phú Thọ,Việt Trì,Northeast,"3,534.56","1,489,000",414,18.1,0.715,"1,916.23"
7,Quảng Ninh,Hạ Long,Red_River_Delta,"6,178.21","1,340,000",214,64.1,0.784,"7,834.55"
8,Thái Nguyên,Thái Nguyên,Northeast,"3,526.64","1,299,000",365,31.9,0.741,"2,547.11"
9,Tuyên Quang,Tuyên Quang,Northeast,"5,867.90","802,000",134,13.8,0.699,"1,948.18"
10,Lào Cai,Lào Cai,Northwest,"6,364.03","748,000",115,23.5,0.67,"2,767.55"
11,Yên Bái,Yên Bái,Northwest,"6,887.46","830,000",119,19.8,0.657,"1,845.51"
12,Điện Biên,Điện Biên Phủ,Northwest,"9,541.25","607,000",63,14.4,0.611,"1,589.03"
13,Hòa Bình,Hòa Bình,Northwest,"4,590.57","866,000",186,15.7,0.715,"2,343.13"
14,Lai Châu,Lai Châu,Northwest,"9,068.79","475,000",51,17.8,0.56,"1,081.84"
15,Sơn La,Sơn La,Northwest,"14,123.49","1,263,000",88,13.8,0.634,"1,773.90"
16,Bắc Ninh,Bắc Ninh,Red_River_Delta,822.71,"1,379,000","1,664",27.5,0.771,"4,451.41"
17,Hà Nam,Phủ Lý,Red_River_Delta,861.93,"861,000",989,16.7,0.724,"2,131.93"
18,Hải Dương,Hải Dương,Red_River_Delta,"1,668.24","1,904,000","1,134",25.2,0.746,"2,513.92"
19,Hưng Yên,Hưng Yên,Red_River_Delta,930.22,"1,265,000","1,347",12.2,0.743,"2,503.79"
20,Nam Định,Nam Định,Red_River_Delta,"1,668.57","1,791,000","1,067",18.2,0.726,"1,904.97"
21,Ninh Bình,Ninh Bình,Red_River_Delta,"1,386.79","1,002,000",708,21,0.733,"2,478.79"
22,Thái Bình,Thái Bình,Red_River_Delta,"1,586.35","1,867,000","1,173",10.6,0.738,"2,090.86"
23,Vĩnh Phúc,Vĩnh Yên,Red_River_Delta,"1,235.87","1,159,000",932,25.6,0.764,"3,990.61"
24,Hà Nội,Hoàn Kiếm District,Red_River_Delta,"3,358.60","8,079,000","2,398",49.2,0.794,"3,923.21"
25,Hải Phòng,Hồng Bàng District,Red_River_Delta,"1,561.76","2,037,000","1,299",45.6,0.773,"3,849.18"
26,Hà Tĩnh,Hà Tĩnh,North_Central_Coast,"5,990.67","1,295,000",215,19.5,0.725,"2,117.32"
27,Nghệ An,Vinh,North_Central_Coast,"16,481.41","3,333,000",202,14.7,0.715,"2,379.59"
28,Quảng Bình,Đồng Hới,North_Central_Coast,"8,065.30","906,000",112,21,0.716,"2,203.01"
29,Quảng Trị,Đông Hà,North_Central_Coast,"4,621.72","644,000",137,30.9,0.696,"2,672.10"
30,Thanh Hóa,Thanh Hóa,North_Central_Coast,"11,114.65","3,657,000",328,14.9,0.716,"2,434.69"
31,Thừa Thiên Huế,Huế,North_Central_Coast,"4,902.44","1,150,000",230,49.5,0.735,"3,072.58"
32,Đắk Lắk,Buôn Ma Thuột,Central_Highlands,"13,030.50","1,880,000",143,24.7,0.708,"2,555.78"
33,Đắk Nông,Gia Nghĩa,Central_Highlands,"6,509.27","642,000",96,15.2,0.71,"3,000.70"
34,Gia Lai,Pleiku,Central_Highlands,"15,510.99","1,524,000",98,29,0.689,"3,023.20"
35,Kon Tum,Kon Tum,Central_Highlands,"9,674.18","550,000",56,32,0.656,"2,075.42"
36,Lâm Đồng,Đà Lạt,Central_Highlands,"9,783.34","1,309,000",133,39.2,0.735,"3,331.80"
37,Bình Định,Qui Nhơn,South_Central_Coast,"6,066.21","1,502,000",245,31.9,0.742,"3,089.10"
38,Bình Thuận,Phan Thiết,South_Central_Coast,"7,943.93","1,245,000",155,38.1,0.732,"3,090.17"
39,Khánh Hòa,Nha Trang,South_Central_Coast,"5,137.79","1,239,000",240,42.2,0.752,"4,180.68"
40,Ninh Thuận,Phan Rang–Tháp Chàm,South_Central_Coast,"3,355.34","606,000",176,35.8,0.695,"2,402.34"
41,Phú Yên,Tuy Hòa,South_Central_Coast,"5,023.42","894,000",174,28.7,0.728,"2,541.80"
42,Quảng Nam,Tam Kỳ,South_Central_Coast,"10,574.74","1,496,000",141,25.4,0.745,"3,192.34"
43,Quảng Ngãi,Quảng Ngãi,South_Central_Coast,"5,155.78","1,247,000",239,16.3,0.718,"3,516.44"
44,Đà Nẵng,Hải Châu District,South_Central_Coast,"1,284.88","1,146,000",883,87.2,0.803,"4,811.58"
45,Bà Rịa Vũng Tàu,Bà Rịa,Southeast,"1,980.98","1,156,000",580,58.4,0.901,"36,786.39"
46,Bình Dương,Thủ Dầu Một,Southeast,"2,694.64","2,436,000",901,80,0.751,"3,663.54"
47,Bình Phước,Đồng Xoài,Southeast,"6,876.76","1,010,000",145,23.7,0.734,"3,606.56"
48,Đồng Nai,Biên Hòa,Southeast,"5,863.60","3,107,000",528,32.9,0.763,"3,485.16"
49,Tây Ninh,Tây Ninh,Southeast,"4,041.25","1,174,000",289,17.7,0.744,"4,058.65"
50,Hồ Chí Minh,District 1,Southeast,"2,061.41","9,005,000","4,363",79.2,0.82,"7,147.09"
51,An Giang,Long Xuyên,Mekong_Delta,"3,536.68","1,923,000",540,31.6,0.73,"3,791.46"
52,Bạc Liêu,Bạc Liêu,Mekong_Delta,"2,669.01","917,000",340,27.7,0.742,"3,701.98"
53,Bến Tre,Bến Tre,Mekong_Delta,"2,394.81","1,290,000",538,9.8,0.75,"2,978.48"
54,Cà Mau,Cà Mau,Mekong_Delta,"5,221.19","1,203,000",229,22.7,0.743,"3,121.66"
55,Đồng Tháp,Cao Lãnh,Mekong_Delta,"3,383.85","1,608,000",473,19.1,0.718,"2,240.56"
56,Hậu Giang,Vị Thanh,Mekong_Delta,"1,621.70","743,000",452,25.4,0.743,"2,943.84"
57,Kiên Giang,Rạch Giá,Mekong_Delta,"6,348.78","1,727,000",271,28.3,0.75,"4,336.43"
58,Long An,Tân An,Mekong_Delta,"4,494.94","1,694,000",376,16.1,0.764,"4,012.39"
59,Sóc Trăng,Sóc Trăng,Mekong_Delta,"3,311.88","1,211,000",362,32.4,0.715,"2,835.46"
60,Tiền Giang,Mỹ Tho,Mekong_Delta,"2,510.61","1,794,000",703,14,0.77,"3,781.77"
61,Trà Vinh,Trà Vinh,Mekong_Delta,"2,358.26","1,019,000",428,17.2,0.717,"2,662.89"
62,Vĩnh Long,Vĩnh Long,Mekong_Delta,"1,525.73","1,031,000",670,16.6,0.757,"3,360.01"
63,Cần Thơ,Ninh Kiều District,Mekong_Delta,"1,438.96","1,250,000",858,69.7,0.788,"6,260.52"
